code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
242b009788001161ac5dd561c0051f48;market for electricity, medium voltage;kilowatt hour;CO;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
cfff494e2abcfa05c41298e974d5c3d0;market for electricity, low voltage;kilowatt hour;TR;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6a61e1fcbaeddbc03ddcf5374ef37230;market for electricity, low voltage;kilowatt hour;TJ;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ad126697029ce1ad56c7063a813a74bf;market for electricity, medium voltage;kilowatt hour;CA-PE;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6cad239233829435f68b7363b16c6181;market for electricity, high voltage;kilowatt hour;SI;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7abc5ddc110834e873c872ca298dec1e;market for electricity, high voltage;kilowatt hour;CA-NB;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e03f651a176220a1fe43e034fd208563;market for electricity, low voltage;kilowatt hour;US-NPCC;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1716b51be90b73fcf88ee173f6d6588a;market for electricity, low voltage;kilowatt hour;CG;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
fb18b79b8dd4fa3e1969ae53cca1ff30;market for electricity, medium voltage;kilowatt hour;IN-Eastern grid;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6f2fad199ce5a5e47e12977e004c449e;market for silver;kilogram;GLO;market activity;silver;apos391;1.0;silver;0729:Mining of other non-ferrous metal ores;41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […]
8192834f178473756174078947a31276;market for electricity, medium voltage;kilowatt hour;PL;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
80affd79cba719de9333b3d18bc3681f;market for water, decarbonised;kilogram;RU;market activity;water, decarbonised;apos391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
ae07288684c2f53426fae0ec0613316c;market for electricity, high voltage;kilowatt hour;MZ;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e6967349fe47e990a28e9578b5b7bb88;market for water, ultrapure;kilogram;CA-QC;market activity;water, ultrapure;apos391;1.0;water;3600:Water collection, treatment and supply;34: Basic chemicals
4f568f82a7deed79bcd22e5a95917ff2;market for electricity, medium voltage;kilowatt hour;AR;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
955be82011f87cb703137fbff2dd6df3;market for electricity, medium voltage;kilowatt hour;KR;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1bd09aff799e31159db518c3d4915274;market for electricity, low voltage;kilowatt hour;CR;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
