CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;cd5b934bf5f248c4a24f18624e8a936e;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;NEU;cement;market for cement, type ICo;;cement, type ICo;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;6c4c470ce5c645f3a768e715f1a0d559;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;OAS;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;df681bd349af4f2886ee31df5644cc8d;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;JPN;cement;market for cement, CEM IV/A;;cement, CEM IV/A;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;93f2cd71eea1db096c97d46e408e20c8;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;RU;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;877e24a8924d44059939f9b1f16d289c;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;CAZ;cement;market for cement, Portland;;cement, Portland;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;5c9a1c84014e7f93940761dce4c4af07;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;DE;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;5e4c79fd8af148928bb415e8a157c56d;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;REF;hydrogen;market for hydrogen, gaseous;;hydrogen, gaseous;kilogram
34290: Compounds of rare earth metals, of yttrium or of scandium;;0729:Mining of other non-ferrous metal ores;7aa2f5fc523e4a810d206a2ffa6f7fe4;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;erbium;market for erbium oxide;;erbium oxide;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;04d08af455fd4abea2c65a4b0c11a178;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;World;cement;market for cement, CP V RS;;cement, CP V RS;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;d9b85ba341fc1a24bff09e8a077cb7af;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;KW;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;0e4b280caeeba40d5644b8d28328b0de;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;SE;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;3199304ad7cc8cb49c74f63f13799635;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;electricity;market for electricity, medium voltage, cobalt industry;;electricity, medium voltage, cobalt industry;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;3d7b918f08d246a2a892880cbb401823;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;REF;cement;market for cement, CEM III/B;;cement, CEM III/B;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;047944614e1b4d12960497391cc57349;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;JPN;cement;market for cement, type IP;;cement, type IP;kilogram
17100: Electrical energy;;3821:Treatment and disposal of non-hazardous waste;335b03eb36e058bca3f4e809bf28ab18;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;NO;electricity;market for electricity, for reuse in municipal waste incineration only;;electricity, for reuse in municipal waste incineration only;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;ff59ea5094974de2922b46fd49de962e;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;IND;cement;market for cement, CEM II/B-S;;cement, CEM II/B-S;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;3b56d50372334ad39ed3dc0a4f21e2f2;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;OAS;cement;market for cement, CP III;;cement, CP III;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;a1997c4436e0451c972a552ccf617d26;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;EUR;cement;market for cement, type I-PM;;cement, type I-PM;kilogram
3932: Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];;2394:Manufacture of cement, lime and plaster;926fe10ef73345a98c44805f42956829;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;MEA;cement;market for cement, Pozzolana Portland;;cement, Pozzolana Portland;kilogram
16190: Other chemical minerals;chemicals/inorganics;0891:Mining of chemical and fertilizer minerals;de03d27ded836711c700f636845168d5;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;borates;market for sodium borates;;sodium borates;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;0e10122ff0a54098ba4519df7e15b3b7;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;CHA;cement;market for cement, CEM II/B-V;;cement, CEM II/B-V;kilogram
15310: Natural sands;construction materials/additives;0810:Quarrying of stone, sand and clay;72f0fb1669cc82aed89e97ac2d612d0b;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;RoW;sand;market for sand;;sand;kilogram
"43410: Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, mechanical grates, […]";hard coal/heating systems;2815:Manufacture of ovens, furnaces and furnace burners;308ffe421db10186f9f172db525e99c5;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;coal;market for coal stove, 5-15kW;;coal stove, 5-15kW;unit
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;9f47fdb5b4d6d1505656ff3b61c80c45;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;PY;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;ce9c73d41fe6b1646b49bb5e24dae619;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;RoW;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;6fcaa96373f9a51ae9230304fda23907;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;LY;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;metals/chipping;"2592:Treatment and coating of metals; machining";ba3860e14f90855c019df7c7cf043db6;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;chromium;market for chromium steel removed by turning, average, conventional;;chromium steel removed by turning, average, conventional;kilogram
37: Glass and glass products and other non-metallic products n.e.c.;;2394:Manufacture of cement, lime and plaster;b2103e3cebd9447e864626bbcece4066;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;IND;cement;market for cement mortar;;cement mortar;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f2377696d5db473a836ec07f04bd6713;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;REF;cement;market for cement, Portland;;cement, Portland;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;a6e47acb8f511c7e9df6952913f9a9ad;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;IN-Southern grid;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;ebedf0367cdb959d30c28db99cc15229;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;HU;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;79f1b602b639ee36ae9f409d2549d049;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;MU;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;2a31501c6a31443fa40cb212ddb26215;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;JPN;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];;2420:Manufacture of basic precious and other non-ferrous metals;6f4a7c6dcf21fff64aa1589a8212659b;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025;GLO;indium;market for indium rich leaching residues, from zinc production;;indium rich leaching residues, from zinc production;kilogram
