code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
70ed1293d768c7d9dc41a141a2167e14;market for electricity, medium voltage;kilowatt hour;DE;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
de7d9761e66fe2a43b0d78e4056da489;market for electricity, high voltage;kilowatt hour;UY;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1cf4cb0999410d62d4aabe04ae23a24f;market for hafnium tetrachloride;kilogram;GLO;market activity;hafnium tetrachloride;con391;1.0;hafnium;2420:Manufacture of basic precious and other non-ferrous metals;342: Basic inorganic chemicals n.e.c.
b333bd6f565289a311ed94fb1ec799b6;market for natural gas, high pressure;cubic meter;KW;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
86555503df0177564537897ca4b8d677;market for silicon, multi-Si, casted;kilogram;RER;market activity;silicon, multi-Si, casted;con391;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
9ab258c844b95abbafb6d6e08cfb1d5c;market for natural gas, high pressure;cubic meter;VE;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
b5e6ac71a8eb1e5067b1c929ab2df439;market for electricity, high voltage;kilowatt hour;US-SERC;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c83095de5e97906a8914a3a51fb37367;market for electricity, high voltage;kilowatt hour;JP;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d6ffa2562fd09131ec2ee49c68bdf0ec;market for electricity, low voltage;kilowatt hour;CU;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
694f9eb3503438da42bd9d6019b512c9;market for electricity, high voltage;kilowatt hour;OM;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ac5e413908b7263061126ea95819f730;market for electricity, high voltage;kilowatt hour;RO;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
993612952d67c75d005df5ff9bab5452;market for electricity, low voltage;kilowatt hour;AT;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d8c6babd05093c5e4f92ff5658593272;market for natural gas, low pressure;cubic meter;FR;market activity;natural gas, low pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
f9a12ce25f2c97360617eca2eff0aff1;market for electricity, medium voltage;kilowatt hour;CN-NECG;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f9f6e1fe91aaf07159f7f1e2c0c652dd;market for electricity, high voltage;kilowatt hour;KH;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
80923fa687c48dec22e76075989d80d3;market for electricity, high voltage;kilowatt hour;AL;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
679ec63c678b8aa0f44c269507d3bbef;market for electricity, high voltage;kilowatt hour;GE;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
903103df5069c519cd9eff142aa61d53;market for electricity, high voltage;kilowatt hour;BW;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
23bfec70c98bfa58e34fcae88b8d27e7;market for electricity, high voltage;kilowatt hour;CN-NWG;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0ce9ac4aac5c5c8cf3ab7a3943afaf10;market for electricity, low voltage;kilowatt hour;RO;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e76d5a67b04043182963312f59e7f350;market for electricity, high voltage;kilowatt hour;AO;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
176f29ca2a08a18a75482a6106f5c697;market for electricity, medium voltage;kilowatt hour;US-HICC;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6d9e06cb78c370be10e89f6f7c07751d;market for electricity, low voltage;kilowatt hour;TT;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0b31aa04d3efc960ac23a7b63820a72c;market for electricity, medium voltage;kilowatt hour;CR;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d04a579a65b34d8f9a183579849091c7;market for electricity, low voltage;kilowatt hour;CA-MB;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e5fe42353f90171df19ab35c46cf8cb5;market for electricity, high voltage;kilowatt hour;MA;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ecb6b7567a4f31c9dfbb4e648c0518f5;market for nickel, class 1;kilogram;GLO;market activity;nickel, class 1;con391;1.0;nickel;2420:Manufacture of basic precious and other non-ferrous metals;41422: Unwrought nickel
fcbb72e4820f56de9f3b9ca9d596b52c;market for natural gas, high pressure;cubic meter;CA;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
