code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
d8c6babd05093c5e4f92ff5658593272;market for natural gas, low pressure;cubic meter;FR;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
bda19f701a1b4682d0a6cfa7518fa679;market for silicon, solar grade;kilogram;GLO;silicon, solar grade;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
17a5e69f28a2fac3c44ecd6dd0dc2e39;market for silicon, multi-Si, casted;kilogram;RoW;silicon, multi-Si, casted;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
9801327751a55afef6a9cb5746df0b92;market for natural gas, low pressure;cubic meter;MX;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
149af613364ed8cff645dfcb75af1d01;market for natural gas, high pressure;cubic meter;TR;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
866849b96d8b41acdbef8d31bf4dd85e;market for bauxite;kilogram;GLO;bauxite;ecoinvent_3.9.1_consequential;1.0;bauxite;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
8db867b439c4769bc88612740ef63bf0;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RoW;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
2bd46d1fbbacf21f8da1507564d4d710;market for natural gas, low pressure;cubic meter;RoE;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
0424e0ee61fc9fff9d0048897f2a05ae;market for silicon, electronics grade;kilogram;GLO;silicon, electronics grade;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
6773265d8c4e5b42f1f79a90db599664;market for natural gas, low pressure;cubic meter;IT;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
eb8c9736e28eaaeccefb38bc70f2b8d4;market for vegetable oil, refined;kilogram;GLO;vegetable oil, refined;ecoinvent_3.9.1_consequential;1.0;vegetable oil;1040:Manufacture of vegetable and animal oils and fats;216: Vegetable oils
ad9fdbd7b4295899047d2dcf71b4c4ea;market for natural gas, high pressure;cubic meter;EC;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
b28b4e93d79feede22534c6479cc1ab7;market for copper, cathode;kilogram;GLO;copper, cathode;ecoinvent_3.9.1_consequential;1.0;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41413: Refined copper and copper alloys, unwrought; master alloys of copper"
2ce8098f2ba137faff3a0ae6b11de417;market for silicon, single crystal, Czochralski process, electronics;kilogram;RoW;silicon, single crystal, Czochralski process, electronics;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
29136f2f9d81b43d1e9856e09be8c665;market for natural gas, high pressure;cubic meter;AE;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e19f58429c4e5ff056cf269ce4deb499;market for petroleum;kilogram;Europe without Switzerland;petroleum;ecoinvent_3.9.1_consequential;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
01aba5ac5bf4811493082cebe5797ec6;market for natural gas, low pressure;cubic meter;US;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
3034eccacce1193638046830b66090bb;market for silicon, single crystal, Czochralski process, electronics;kilogram;RER;silicon, single crystal, Czochralski process, electronics;ecoinvent_3.9.1_consequential;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
dbf77eb41c9f2b63f6d490ba82d96997;market for natural gas, low pressure;cubic meter;ES;natural gas, low pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
2efbffef07418e05b8333026fa95deaf;market for petroleum;kilogram;RoW;petroleum;ecoinvent_3.9.1_consequential;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
2491f933ed456bbc7fb40f84d782dad8;market for natural gas, high pressure;cubic meter;CZ;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
4f5988851aea9523bae397e680a4b099;market for rare earth oxide concentrate, 50% REO;kilogram;GLO;rare earth oxide concentrate, 50% REO;ecoinvent_3.9.1_consequential;1.0;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
9ab258c844b95abbafb6d6e08cfb1d5c;market for natural gas, high pressure;cubic meter;VE;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
bae4400c0852562c31e8607366168f4d;market for cement, unspecified;kilogram;CH;cement, unspecified;ecoinvent_3.9.1_consequential;1.0;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
5515c54238df21a8ad0c6f77abdfa548;market for natural gas, high pressure;cubic meter;NL;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
cf01cb81d3c82af6801307635274e39f;market for natural gas, high pressure;cubic meter;CH;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
0acdd9defc3bb384c34fdc5a092ec4fe;market for natural gas, high pressure;cubic meter;FI;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
342e975e7b3ddce601b1b579b2ea6657;market for natural gas, high pressure;cubic meter;RoE;natural gas, high pressure;ecoinvent_3.9.1_consequential;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
