CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;f6e9a7f4532730ae558eb33746d995fd;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;BG;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;958e64cc7ac94cd4962bfc61df43f0f3;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;World;cement;market for cement, CP II-Z;;cement, CP II-Z;kilogram
69120: Gas distribution through mains (on own account);;"3520:Manufacture of gas; distribution of gaseous fuels through mains";e270f0f5b6204b8c0d5081c65b376444;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;CA;natural gas;market for natural gas, low pressure;;natural gas, low pressure;cubic meter
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;424fd18c780c4561a69f4c76460f9c54;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;World;cement;market for cement, CEM II/B-L;;cement, CEM II/B-L;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7324d306ff3d45edb70fd12b86efff5f;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;IND;cement;market for cement, CEM II/A-S;;cement, CEM II/A-S;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;495bface00d44cd2aa04655588e4a24b;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;LAM;cement;market for cement, type general use;;cement, type general use;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c72cc1b339840b1ed9b640052a2dd157;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;ZA;cement;market for cement, CEM II/B-S;;cement, CEM II/B-S;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;5061c930ec0f725a2fb4d4ed46388c61;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;TZ;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8c95029ce746464da83ed2ef875c1689;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;LAM;cement;market for cement, CEM II/B-V;;cement, CEM II/B-V;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;45317db8655c4ac5aedfd854c871e0ad;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;SSA;hydrogen;market for hydrogen, gaseous;;hydrogen, gaseous;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;52a08acc86fa41ad9e7c318b3126ac96;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;JPN;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;cccee17bcf7f1ed7132541d026efee63;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;US-RFC;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
342: Basic inorganic chemicals n.e.c.;;2420:Manufacture of basic precious and other non-ferrous metals;88f3a80f97d250998bbdb1fb71d3cdaa;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;GLO;magnesium;market for magnesium chloride, from hafnium sponge production;;magnesium chloride, from hafnium sponge production;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;4a7cab4efb32412535736c3ed4994c2b;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;CU;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;5f3abfdad8df475780b9708b8ac4bb2b;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;EUR;cement;market for cement, CP III;;cement, CP III;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;e25e2afef9a049448ff3f123c9b352d5;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;CAZ;cement;market for cement, CEM II/B-V;;cement, CEM II/B-V;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;8baa6bd9f7cb7e3c25687095ee58be67;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;CR;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;b8d06991c6ac00da9ee57f2530d5ef49;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;CA-NS;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
342: Basic inorganic chemicals n.e.c.;;2420:Manufacture of basic precious and other non-ferrous metals;a947a6fbd36a6d46728f905616a73842;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;GLO;zirconium;market for zirconium tetrachloride;;zirconium tetrachloride;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f58605e3ca3e4d2aa6f6be68e74de3bb;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;IND;cement;market for cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;;cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;cdc78be219354c9e8978ecad9cf5dce9;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;MEA;cement;market for cement, ART;;cement, ART;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;518b0130d83f3f809e6a0b6e8b67f066;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;BN;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";56673abed84e84127218c13c4e72a080;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;KZ;natural gas;market for natural gas, high pressure;;natural gas, high pressure;cubic meter
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f9e177d535774911af82187189646676;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;JPN;cement;market for cement, CP IV;;cement, CP IV;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;1820b97641639ac6d8550afc35929740;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;IAI Area, Africa;electricity;market for electricity, medium voltage, aluminium industry;;electricity, medium voltage, aluminium industry;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;cbcc7350c1304fcaafc77d4813fa01a2;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;EUR;cement;market for cement, type ICo;;cement, type ICo;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;c83ccaeb957e10a44b7b02cc09d026ad;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;GLO;hydrogen;market for hydrogen, gaseous;;hydrogen, gaseous;kilogram
18000: Natural water;;3600:Water collection, treatment and supply;7582b898838ac733d71276c58334fbbb;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;BR;water;market for water, decarbonised;;water, decarbonised;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;42a61e857fd4c66720774d60a3c09424;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;HK;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);construction materials/additives;0729:Mining of other non-ferrous metal ores;c3f8dcd117ff5691f137f0957f08e412;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2020;GLO;strontium;market for strontium sulfate, 90% SrSO4;;strontium sulfate, 90% SrSO4;kilogram
