code;name;unit;location;reference product;database;material_group;ISIC;CPC
67ece99ef0c5d14c8608c570092a6ee5;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RoW;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
d1209a1c88bfcdc9fcb8f31c487f0b3d;market for rare earth carbonate concentrate;kilogram;GLO;rare earth carbonate concentrate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
8a4083433d869c12677962c263c7dc26;market for cement, unspecified;kilogram;Europe without Switzerland;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
105d34b6b34a5de233596a08ebb30578;market for scandium oxide;kilogram;GLO;scandium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;scandium;2420:Manufacture of basic precious and other non-ferrous metals;34290: Compounds of rare earth metals, of yttrium or of scandium
40dd566f1c796455cbd281a2de5f44a5;market for phosphate rock, beneficiated;kilogram;US;phosphate rock, beneficiated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;phosphate rock;0891:Mining of chemical and fertilizer minerals;34629: Other phosphatic fertilizers, n.e.c.
94a5c543e7175166ce36e3daefea8e72;market for lithium sulfate;kilogram;GLO;lithium sulfate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;lithium;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
dc8d0f06af3874b8c214e6df0e55fdd1;market for natural gas, low pressure;cubic meter;IT;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
c1d640ff8fbdfe4c82fc24666478ebf4;market for silicon, multi-Si, casted;kilogram;CA-QC;silicon, multi-Si, casted;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
510f6e017731c9d64259a7e2bc0b5f7c;market for natural gas, high pressure;cubic meter;IR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
ed41c55076eebb7fa013c9134e203b90;market for cement, unspecified;kilogram;BR;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
356ed01a85736ea36731aa23124e2fbb;market for rhodium;kilogram;GLO;rhodium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;rhodium;2420:Manufacture of basic precious and other non-ferrous metals;"4160: Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]"
84c52a94bf58be855ac22e6a538a16ba;market for natural gas, high pressure;cubic meter;PL;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
05dd318aa12cc9aa21d0cb0c5b8f7337;market for tap water;kilogram;BR;tap water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;water;3600:Water collection, treatment and supply;18000: Natural water
ab6a81dd5e1ed8e4c69d8a1f27b9099d;market for natural gas, high pressure;cubic meter;CA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
451bfffb9c9641d6ac59b9ca32fdd5bd;market for natural gas, high pressure;cubic meter;EUR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
d64be106f6801c2c9d6a94bed1e4f893;market for cement, unspecified;kilogram;ZA;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
4eb247c934c0f9866cdc2652895bb8fa;market for tap water;kilogram;RoW;tap water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;water;3600:Water collection, treatment and supply;18000: Natural water
72c658c580d76797ae9f9dcf32b23e70;market for natural gas, high pressure;cubic meter;TR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
906119ef526cfb1c3d88757f685884e2;market for natural gas, high pressure;cubic meter;DZ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
d1f8d72888b7e9d0a241fda2dcd2ce91;market for natural gas, high pressure;cubic meter;MX;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
50faad177fd95b72f6d2f5ea917e0692;market for tungsten concentrate;kilogram;GLO;tungsten concentrate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;tungsten;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
80fcca8589fedf2ca441140bb8c913e6;market for petroleum;kilogram;RNA;petroleum;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
337dfb767bd83ad05cd3a91d812cd04b;market for rare earth oxide concentrate, 70% REO;kilogram;GLO;rare earth oxide concentrate, 70% REO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
e7bb282744e6bbf0ab868a80ba3ce1bd;market for natural gas, high pressure;cubic meter;HU;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
adee2d8427750b2e3bab903e8a48dab7;market for natural gas, high pressure;cubic meter;LY;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
683c871038aaa454a18c4f913eef655c;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RER;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
391ef6581ff8b52c9cefbb7af4d72fbe;market for cement, unspecified;kilogram;CO;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
af6145a3bdd771885af82434140d1b0e;market for natural gas, high pressure;cubic meter;QA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
