CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;f051f3bc39e7133aa656d39cc9119b5a;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;CA-YK;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;796cc214cdab4954b3867b3fe376b516;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;NEU;hydrogen;market for hydrogen, gaseous, 20-year period;;hydrogen, gaseous;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;04fdacdd853bf9f335e2b11b933225f7;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;LB;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
69120: Gas distribution through mains (on own account);natural gas/fuels;"3520:Manufacture of gas; distribution of gaseous fuels through mains";01325356fdc88b89e81180cc2a30b0e2;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;GLO;natural gas;market for natural gas, high pressure, vehicle grade;;natural gas, high pressure, vehicle grade;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;ce532ec54eb69c7b2e4c47a624c7851e;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;JP;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;b66022f8077d40e6b783aecc99d939dd;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;SSA;cement;market for cement, type I-PM;;cement, type I-PM;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f9fc3fe477c74f2e825f786b20f2f68d;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;LAM;cement;market for cement, CEM II/A-S;;cement, CEM II/A-S;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;8ebce14c4dbd6e60d295df64d7d85f2d;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;CA-BC;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;7a894486ae9b0229991f74e82641e9da;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;CA;electricity;market for electricity, medium voltage, aluminium industry;;electricity, medium voltage, aluminium industry;kilowatt hour
41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […];metals/extraction;0729:Mining of other non-ferrous metal ores;e82e91c0b572e044b71a69b32bf53388;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;GLO;silver;market for silver;;silver;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;0c2129f8dad04c3cab3087b7810b502f;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;IND;cement;market for cement, CP IV;;cement, CP IV;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;9e082fbc58ec4fa0a7c14b300391d315;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;IND;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;metals/chipping;"2592:Treatment and coating of metals; machining";fb9aeb60b6a64c9b3067a2682d7669da;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;GLO;chromium;market for chromium steel removed by turning, primarily roughing, computer numerical controlled;;chromium steel removed by turning, primarily roughing, computer numerical controlled;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;f6c04eaa4b01a831c007dad8e61baaf9;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;NP;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;ce90619450504f8ebacbdd3341f6378b;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;USA;cement;market for cement, Portland;;cement, Portland;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;1fe808d36f906e9e211ede6e32d084ac;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;IN-Eastern grid;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";13fcbb77f8ce44188d18b7c48993cb84;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;REF;natural gas;market for natural gas, high pressure, 20-year period;;natural gas, high pressure;cubic meter
"34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";chemicals/inorganics;2011:Manufacture of basic chemicals;9d318a9ed434e9ecc8a8e59eea1789e4;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;GLO;zinc;market for zinc oxide;;zinc oxide;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;48fec4d3041fcf3a5840d414a4a32709;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;CN-ECGC;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;95e723334b2e4c09b87675c5d9d0a155;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2025;IND;hydrogen;market for hydrogen, gaseous, 40-year period;;hydrogen, gaseous;kilogram
