code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
7457a65c3bcddd58ce6013baabb78d0b;market for antimony;kilogram;GLO;antimony;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;antimony;2420:Manufacture of basic precious and other non-ferrous metals;"41603: Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese"
4e2be66714e03521b81d7d93cff67d9d;market for natural gas, high pressure;cubic meter;MY;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
b069fb703ffd4aa2aa094c2caf947a2c;market for natural gas, high pressure;cubic meter;IND;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
ecddc793de057b056c38a2a378711ece;market for silicon carbide;kilogram;GLO;silicon carbide;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2391:Manufacture of refractory products;373: Refractory products and structural non-refractory clay products
9e763090c5bd2d9dc4c8714f6135d0c2;market for natural gas, high pressure;cubic meter;NG;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
50faad177fd95b72f6d2f5ea917e0692;market for tungsten concentrate;kilogram;GLO;tungsten concentrate;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;tungsten;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
e7e751b79636caff3689880ed4426e1b;market for ferroniobium, 66% Nb;kilogram;GLO;ferroniobium, 66% Nb;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;niobium;2410:Manufacture of basic iron and steel;41115: Other ferro-alloys
dc8d0f06af3874b8c214e6df0e55fdd1;market for natural gas, low pressure;cubic meter;IT;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
adee2d8427750b2e3bab903e8a48dab7;market for natural gas, high pressure;cubic meter;LY;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
9b63eb315a9144db9d8cbf24521cf87a;market for natural gas, high pressure;cubic meter;MEA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
