('12/06/2023, 15:45:07', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.086733')
('12/06/2023, 15:45:08', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.651249')
('12/06/2023, 15:48:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_water', 'additions', 11860, 'duration:', '0:03:21.277546')
('12/06/2023, 15:48:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:04.266150')
('12/06/2023, 15:48:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.428913')
('12/06/2023, 15:48:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.267153')
('12/06/2023, 15:48:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.062282')
('12/06/2023, 15:48:42', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.856553')
('12/06/2023, 15:49:20', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_hazardous_kilogram', 'additions', 2228, 'duration:', '0:00:37.913301')
('12/06/2023, 15:49:20', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.033583')
('12/06/2023, 15:50:10', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_incineration_kilogram', 'additions', 2898, 'duration:', '0:00:49.381559')
('12/06/2023, 15:50:10', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.033825')
('12/06/2023, 15:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_landfill_kilogram', 'additions', 1728, 'duration:', '0:00:29.447529')
('12/06/2023, 15:50:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_open-burning_kilogram', 'additions', 535, 'duration:', '0:00:08.880998')
('12/06/2023, 15:50:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.559814')
('12/06/2023, 15:52:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_total_cubicmeter', 'additions', 4868, 'duration:', '0:01:22.541768')
('12/06/2023, 16:01:35', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_total_kilogram', 'additions', 31900, 'duration:', '0:09:21.462969')
('12/06/2023, 16:01:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.560910')
('12/06/2023, 16:01:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.709829')
('12/06/2023, 16:01:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.355397')
('12/06/2023, 16:01:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_cement', 'additions', 501, 'duration:', '0:00:11.642668')
('12/06/2023, 16:02:03', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:03.383655')
('12/06/2023, 16:02:05', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:02.388931')
('12/06/2023, 16:02:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_copper', 'additions', 977, 'duration:', '0:00:20.611641')
('12/06/2023, 16:08:58', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_electricity', 'additions', 23130, 'duration:', '0:06:32.401070')
('12/06/2023, 16:08:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.515377')
('12/06/2023, 16:08:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.051001')
('12/06/2023, 16:08:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.152108')
('12/06/2023, 16:09:00', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.566653')
('12/06/2023, 16:09:00', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.843026')
('12/06/2023, 16:09:01', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.144956')
('12/06/2023, 16:09:01', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.962177')
('12/06/2023, 16:09:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.188218')
('12/06/2023, 16:09:03', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.935472')
('12/06/2023, 16:09:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_natural gas', 'additions', 1772, 'duration:', '0:00:31.866037')
('12/06/2023, 16:09:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_nickel', 'additions', 360, 'duration:', '0:00:06.156558')
('12/06/2023, 16:09:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.556585')
('12/06/2023, 16:09:44', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.296342')
('12/06/2023, 16:09:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.682817')
('12/06/2023, 16:09:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.771978')
('12/06/2023, 16:09:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.529508')
