('12/12/2023, 00:10:43', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:10:29.739020')
('12/12/2023, 00:10:44', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:10:29.926453')
('12/12/2023, 00:10:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_sand', 'additions', 609, 'duration:', '0:10:40.153547')
('12/12/2023, 00:10:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:10:40.170297')
('12/12/2023, 00:10:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:10:40.322737')
('12/12/2023, 00:11:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_silicon', 'additions', 377, 'duration:', '0:10:46.771191')
('12/12/2023, 00:11:01', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_silver', 'additions', 50, 'duration:', '0:10:47.659427')
('12/12/2023, 00:11:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:10:48.157027')
('12/12/2023, 00:11:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:10:48.206654')
('12/12/2023, 00:11:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:10:48.243784')
('12/12/2023, 00:11:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_tin', 'additions', 124, 'duration:', '0:10:50.416610')
('12/12/2023, 00:11:12', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_titanium', 'additions', 457, 'duration:', '0:10:58.236776')
('12/12/2023, 00:11:12', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:10:58.316998')
('12/12/2023, 00:11:14', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:11:00.707433')
('12/12/2023, 00:11:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:11:01.357751')
('12/12/2023, 00:14:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_water', 'additions', 11860, 'duration:', '0:14:24.667818')
('12/12/2023, 00:14:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_zinc', 'additions', 667, 'duration:', '0:14:36.050386')
('12/12/2023, 00:14:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:14:36.246757')
('12/12/2023, 00:14:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_carbondioxide-kilogram', 'additions', 81, 'duration:', '0:14:37.665272')
('12/12/2023, 00:14:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_composting-kilogram', 'additions', 26, 'duration:', '0:14:38.116926')
