('12/13/2023, 16:41:45', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_hazardous-cubicmeter', 'additions', 423, 'duration:', '0:13:39.499102')
('12/13/2023, 16:42:16', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_hazardous-kilogram', 'additions', 1842, 'duration:', '0:14:10.516267')
('12/13/2023, 16:42:16', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:14:10.555409')
('12/13/2023, 16:42:48', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_incineration-kilogram', 'additions', 1897, 'duration:', '0:14:42.534703')
('12/13/2023, 16:42:48', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:14:42.573040')
('12/13/2023, 16:43:12', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_landfill-kilogram', 'additions', 1430, 'duration:', '0:15:06.782283')
('12/13/2023, 16:43:21', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:15:15.576754')
('12/13/2023, 16:43:23', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_recycling-kilogram', 'additions', 129, 'duration:', '0:15:17.789458')
('12/13/2023, 16:44:30', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_total-cubicmeter', 'additions', 3976, 'duration:', '0:16:25.419523')
('12/13/2023, 16:52:36', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_total-kilogram', 'additions', 28883, 'duration:', '0:24:30.502336')
('12/13/2023, 16:53:23', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_aluminium', 'additions', 2105, 'duration:', '0:00:35.966943')
('12/13/2023, 16:53:23', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:36.290198')
('12/13/2023, 16:53:24', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:36.661084')
('12/13/2023, 16:53:24', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:36.672262')
('12/13/2023, 16:53:24', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:36.890227')
('12/13/2023, 16:53:24', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:37.117865')
