('10/02/2023, 23:18:52', 'ecoinvent_3.9.1_consequential', 'waste_landfill_kilogram', 'additions', 1340, 'duration:', '0:00:21.993813')
('10/02/2023, 23:19:40', 'ecoinvent_3.9.1_consequential', 'waste_non_hazardous_cubicmeter', 'additions', 2901, 'duration:', '0:00:47.783456')
('10/02/2023, 23:26:21', 'ecoinvent_3.9.1_consequential', 'waste_non_hazardous_kilogram', 'additions', 24121, 'duration:', '0:06:41.748310')
('10/02/2023, 23:26:31', 'ecoinvent_3.9.1_consequential', 'waste_open_burning_kilogram', 'additions', 579, 'duration:', '0:00:09.361032')
('10/02/2023, 23:26:33', 'ecoinvent_3.9.1_consequential', 'waste_recycling_kilogram', 'additions', 117, 'duration:', '0:00:01.936540')
('10/02/2023, 23:27:26', 'ecoinvent_3.9.1_consequential', 'waste_total_cubicmeter', 'additions', 3250, 'duration:', '0:00:52.848546')
('10/02/2023, 23:34:32', 'ecoinvent_3.9.1_consequential', 'waste_total_kilogram', 'additions', 25625, 'duration:', '0:07:06.726430')
('10/02/2023, 23:36:10', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_antimony', 'additions', 22, 'duration:', '0:00:00.474898')
('10/02/2023, 23:36:10', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_bauxite', 'additions', 24, 'duration:', '0:00:00.514850')
('10/02/2023, 23:36:10', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.322440')
('10/02/2023, 23:36:42', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_cement', 'additions', 1797, 'duration:', '0:00:31.945833')
('10/02/2023, 23:36:46', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:03.077171')
('10/02/2023, 23:36:47', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_coke', 'additions', 68, 'duration:', '0:00:01.351196')
('10/02/2023, 23:37:01', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_copper', 'additions', 747, 'duration:', '0:00:14.241250')
('10/02/2023, 23:43:20', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_electricity', 'additions', 22984, 'duration:', '0:06:19.348065')
('10/02/2023, 23:43:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_fluorspar', 'additions', 22, 'duration:', '0:00:00.320597')
('10/02/2023, 23:43:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_gallium', 'additions', 2, 'duration:', '0:00:00.046956')
('10/02/2023, 23:43:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_gold', 'additions', 8, 'duration:', '0:00:00.182341')
('10/02/2023, 23:43:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_graphite', 'additions', 30, 'duration:', '0:00:00.472579')
('10/02/2023, 23:43:22', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_helium', 'additions', 41, 'duration:', '0:00:00.669261')
('10/02/2023, 23:43:22', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.137128')
('10/02/2023, 23:43:23', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_latex', 'additions', 49, 'duration:', '0:00:00.825986')
('10/02/2023, 23:43:23', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.186291')
('10/02/2023, 23:43:24', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_magnesium', 'additions', 50, 'duration:', '0:00:00.842893')
('10/02/2023, 23:44:57', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_natural gas', 'additions', 5664, 'duration:', '0:01:33.095067')
('10/02/2023, 23:45:02', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_nickel', 'additions', 272, 'duration:', '0:00:04.542665')
('10/02/2023, 23:45:02', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_palladium', 'additions', 22, 'duration:', '0:00:00.369813')
('10/02/2023, 23:45:05', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.253827')
('10/02/2023, 23:45:09', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.476635')
('10/02/2023, 23:45:11', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_platinum', 'additions', 158, 'duration:', '0:00:02.475700')
('10/02/2023, 23:45:12', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.491357')
('10/02/2023, 23:45:12', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.174292')
('10/02/2023, 23:45:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_sand', 'additions', 553, 'duration:', '0:00:09.452094')
('10/02/2023, 23:45:21', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.015910')
('10/02/2023, 23:45:23', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_silicon', 'additions', 114, 'duration:', '0:00:01.830165')
('10/02/2023, 23:45:24', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_silver', 'additions', 46, 'duration:', '0:00:00.737538')
('10/02/2023, 23:45:24', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.030937')
