('12/11/2023, 14:07:27', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_petroleum', 'additions', 503, 'duration:', '0:10:38.985909')
('12/11/2023, 14:07:31', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:10:42.542533')
('12/11/2023, 14:07:34', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_platinum', 'additions', 164, 'duration:', '0:10:45.368016')
('12/11/2023, 14:07:34', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:10:45.999506')
('12/11/2023, 14:07:35', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:10:46.193579')
('12/11/2023, 14:07:44', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_sand', 'additions', 553, 'duration:', '0:10:55.707895')
('12/11/2023, 14:07:44', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:10:55.725460')
('12/11/2023, 14:07:44', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:10:55.881263')
('12/11/2023, 14:07:50', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_silicon', 'additions', 358, 'duration:', '0:11:01.967727')
('12/11/2023, 14:07:51', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_silver', 'additions', 46, 'duration:', '0:11:02.733903')
('12/11/2023, 14:07:52', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_strontium', 'additions', 27, 'duration:', '0:11:03.185093')
('12/11/2023, 14:07:52', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:11:03.234066')
('12/11/2023, 14:07:52', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:11:03.267011')
('12/11/2023, 14:07:53', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_tin', 'additions', 103, 'duration:', '0:11:04.978783')
('12/11/2023, 14:08:01', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_titanium', 'additions', 454, 'duration:', '0:11:12.613482')
('12/11/2023, 14:08:01', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:11:12.694453')
('12/11/2023, 14:08:03', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_uranium', 'additions', 136, 'duration:', '0:11:15.020079')
('12/11/2023, 14:08:04', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_vegetable oil', 'additions', 34, 'duration:', '0:11:15.600077')
('12/11/2023, 14:10:57', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_water', 'additions', 10145, 'duration:', '0:14:08.208549')
('12/11/2023, 14:11:06', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_zinc', 'additions', 557, 'duration:', '0:14:17.599255')
('12/11/2023, 14:11:06', 'ecoinvent-3.9.1-cutoff', 'MaterialFootprint_zirconium', 'additions', 9, 'duration:', '0:14:17.748970')
('12/11/2023, 14:11:07', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_composting-kilogram', 'additions', 26, 'duration:', '0:14:18.192663')
('12/11/2023, 14:11:07', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_digestion-cubicmeter', 'additions', 16, 'duration:', '0:14:18.463469')
('12/11/2023, 14:11:07', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:14:18.529099')
('12/11/2023, 14:11:14', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_hazardous-cubicmeter', 'additions', 423, 'duration:', '0:14:25.805719')
('12/11/2023, 14:11:45', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_hazardous-kilogram', 'additions', 1842, 'duration:', '0:14:57.064410')
