name;db_target;db_year;method_0;method_1;method_2;activity;unit;total;46410: Primary cells and primary batteries;4153: Semi-finished products of aluminium or aluminium alloys;88752: Battery and accumulator manufacturing services;46430: Parts of primary cells, primary batteries and electric accumulators (including separators);53269: Other constructions for manufacturing;"471: Electronic valves and tubes; electronic components; parts thereof";47130: Printed circuits;35470: Chemical elements and compounds doped for use in electronics;"41412: Unrefined copper; copper anodes for electrolytic refining";46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];"463: Insulated wire and cable; optical fibre cables";89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services;4124: Bars and rods, hot-rolled, of iron or steel;6511: Road transport services of freight;34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];17100: Electrical energy;65119: Other road transport services of freight;65213: Coastal and transoceanic water transport services of intermodal containers by container ships;34710: Polymers of ethylene, in primary forms;17300: Steam and hot water;88601: Basic iron and steel manufacturing services;4151: Semi-finished products of copper or copper alloys;6512: Railway transport services of freight;89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services;893: Casting, forging, stamping and similar metal manufacturing services;65229: Other inland water transport services of freight;41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;36990: Articles of plastics n.e.c.;347: Plastics in primary forms;18000: Natural water;Unnamed: 50;53211: Highways (except elevated highways), streets and roads;33360: Gas oil;"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";65219: Other coastal and transoceanic water transport services of other freight;other
NCA;Base;2020;T-reX;Demand: Cement;Cement;NMC111, rechargeable, prismatic;kg;0.6009367891066124;0.0;0.0155588250040293;0.0206133553153729;0.6581632847556967;0.2415622113424677;0.0;0.0;0.0135240680739597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050578255508473724
NMC811;Base;2020;T-reX;Demand: Cement;Cement;NCA, rechargeable, prismatic;kg;0.5470678410546826;0.0;0.0180613624175458;0.0235793670711068;0.5881178487305693;0.2963480519266962;0.0;0.0;0.0147168046831227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05917656517095926
NMC111;Base;2020;T-reX;Demand: Cement;Cement;NMC811, rechargeable, prismatic;kg;0.4931141473253117;0.0;0.0196878857489571;0.0261638605383661;0.5736760948225034;0.2988930490732417;0.0;0.0;0.0186760881080774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06290302170885442
LiMn2O4;Base;2020;T-reX;Demand: Cement;Cement;LFP, rechargeable, prismatic;kg;0.3337705241112223;0.325814634909233;0.0243491306366551;0.0375626833210916;0.2286754039790788;0.3415266798742737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04207146727966771
LFP;Base;2020;T-reX;Demand: Cement;Cement;LiMn2O4, rechargeable, prismatic;kg;0.1106106632309811;0.5032738239716043;0.0;0.0;0.0;0.1497670730367248;0.0;0.0728108269400474;0.0;0.0;0.0;0.0;0.0;0.1700326587116263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353175470931051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06879807024689222
NCA;Base;2020;T-reX;Demand: Coal(black);Coal(black);NMC111, rechargeable, prismatic;kg;2.8758227462377324;0.0395777026876773;0.1810696457532724;0.0823417363656718;0.5045443471412567;0.0;0.0;0.0;0.0;0.0;0.0505540575167733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14191251053534848
NMC811;Base;2020;T-reX;Demand: Coal(black);Coal(black);NCA, rechargeable, prismatic;kg;2.778167257370704;0.0367349676264979;0.1979132176194193;0.0887604001364106;0.4579868458066086;0.0;0.0;0.0;0.0;0.0;0.0611817710532305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15742279775783308
NMC111;Base;2020;T-reX;Demand: Coal(black);Coal(black);NMC811, rechargeable, prismatic;kg;2.6712527873769174;0.0381158032300203;0.2022207245430475;0.0923291308555841;0.4471994751257983;0.0;0.0;0.0;0.0;0.0;0.0607083685564539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1594264976890959
LiMn2O4;Base;2020;T-reX;Demand: Coal(black);Coal(black);LFP, rechargeable, prismatic;kg;2.060295329949594;0.516267263863147;0.2182709964387068;0.1167949105041943;0.0690310846634813;0.0241792038889489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05545654064152172
LFP;Base;2020;T-reX;Demand: Coal(black);Coal(black);LiMn2O4, rechargeable, prismatic;kg;1.7268468783527453;0.7713222580048462;0.0;0.0;0.0;0.0;0.0;0.1209650309728407;0.0;0.0;0.0;0.0122842194173725;0.0;0.0593177094953511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0131413382129977;0.0;0.0;0.0;0.0;0.022969443896591835
NCA;Base;2020;T-reX;Demand: Coal(brown);Coal(brown);NMC111, rechargeable, prismatic;kg;0.976163068155351;0.0;0.0787482330471657;0.0599111310178621;0.5747532856223374;0.0;0.0;0.0;0.0;0.0;0.0692382150952814;0.0;0.0;0.0;0.0;0.0;0.0891906290539008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1281585061634526
NMC811;Base;2020;T-reX;Demand: Coal(brown);Coal(brown);NCA, rechargeable, prismatic;kg;0.9435185032547262;0.0;0.0861780972474161;0.0645468072021333;0.5277733071615476;0.0;0.0;0.0;0.0;0.0;0.0841325019512323;0.0;0.0;0.0;0.0;0.0;0.1023308039086927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13503848252897788
NMC111;Base;2020;T-reX;Demand: Coal(brown);Coal(brown);NMC811, rechargeable, prismatic;kg;0.908074512183386;0.0;0.0879653527643638;0.0670779651492607;0.5229164709977039;0.0;0.0;0.0;0.0;0.0;0.0833720490969615;0.0;0.0;0.0;0.0;0.0;0.1001712397062605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13849692228544963
LiMn2O4;Base;2020;T-reX;Demand: Coal(brown);Coal(brown);LFP, rechargeable, prismatic;kg;0.5525852575603629;0.5786735738121864;0.1197761478290956;0.1075341891056686;0.0945738484554137;0.0;0.0313088270274257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06813341377020998
LFP;Base;2020;T-reX;Demand: Coal(brown);Coal(brown);LiMn2O4, rechargeable, prismatic;kg;0.5271933811930906;0.7485945051175825;0.0;0.0;0.0;0.0;0.0;0.1804750475694817;0.0;0.0;0.0;0.0148700719664058;0.0;0.0141752863026644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0240911483479099;0.0;0.0;0.0;0.0;0.017793940695955635
NCA;Base;2020;T-reX;Demand: Cobalt;Cobalt;NMC111, rechargeable, prismatic;kg;0.2352829933774121;0.0;0.0;0.0;0.9999957611250588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.238874941164816e-06
NMC811;Base;2020;T-reX;Demand: Cobalt;Cobalt;NCA, rechargeable, prismatic;kg;0.0958050840700066;0.0;0.0;0.0;0.9999888345111744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.116548882562629e-05
NMC111;Base;2020;T-reX;Demand: Cobalt;Cobalt;NMC811, rechargeable, prismatic;kg;0.0625675334107655;0.0;0.0;0.0;0.9999838422783728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6157721627219068e-05
LiMn2O4;Base;2020;T-reX;Demand: Cobalt;Cobalt;LFP, rechargeable, prismatic;kg;1.1125146831638127e-06;0.6603744823640033;0.0306186731879443;0.0504988341354517;0.1432960493544194;0.0445747960907944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0706371648673868
LFP;Base;2020;T-reX;Demand: Cobalt;Cobalt;LiMn2O4, rechargeable, prismatic;kg;4.294196599652458e-07;0.4996115535592688;0.0;0.0;0.0;0.0;0.0;0.0784889313252235;0.0;0.0;0.0;0.0262481569224983;0.0;0.2619026834167406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0677076138222796;0.0;0.0;0.0;0.0;0.0660410609539892
NCA;Base;2020;T-reX;Demand: Coke;Coke;NMC111, rechargeable, prismatic;kg;2.6000463783112955;0.0;0.055491099476674;0.0335196473002559;0.6257570156698515;0.1494296891537166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022099839910505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.113702708488997
NMC811;Base;2020;T-reX;Demand: Coke;Coke;NCA, rechargeable, prismatic;kg;2.518825472724681;0.0;0.0605139627717805;0.0360308365605875;0.5545538426686389;0.1724805603050754;0.0;0.0;0.0;0.0;0.0542778315489627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12214296614495501
NMC111;Base;2020;T-reX;Demand: Coke;Coke;NMC811, rechargeable, prismatic;kg;2.340819296009761;0.0;0.063969210764364;0.0387777023618987;0.540138636343151;0.1690750222241848;0.0;0.0;0.0;0.0;0.0557148518555785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13232457645082307
LiMn2O4;Base;2020;T-reX;Demand: Coke;Coke;LiMn2O4, rechargeable, prismatic;kg;2.1182023468013824;0.2204177596012042;0.0;0.0;0.0;0.025985669952188;0.0;0.0260447700112421;0.0;0.0;0.0;0.0;0.0;0.6365520600660912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0583347168723709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03266502349690359
LFP;Base;2020;T-reX;Demand: Coke;Coke;LFP, rechargeable, prismatic;kg;1.688844292545851;0.4422514802569879;0.0740259436957006;0.0525924533544562;0.1588869513647896;0.1764222644222862;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0958209069057796
NCA;Base;2020;T-reX;Demand: Copper;Copper;NCA, rechargeable, prismatic;kg;0.553691289020602;0.2144060561620888;0.0;0.0231802340882684;0.6283138420244333;0.0167806494498039;0.0;0.0;0.0;0.0916992200855085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02561999818989713
NMC811;Base;2020;T-reX;Demand: Copper;Copper;NMC111, rechargeable, prismatic;kg;0.5281385451239324;0.2123730703795966;0.0;0.0233368264192621;0.6282140577912507;0.0162526524493982;0.0;0.0;0.0;0.0942255746318287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025597818328663702
NMC111;Base;2020;T-reX;Demand: Copper;Copper;NMC811, rechargeable, prismatic;kg;0.5270775705728594;0.2151741416379992;0.0;0.0243549325826926;0.6244219256898692;0.016265092585086;0.0;0.0;0.0;0.0932021555676925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026581751936660458
LiMn2O4;Base;2020;T-reX;Demand: Copper;Copper;LFP, rechargeable, prismatic;kg;0.466890773913007;0.907291273246814;0.004969357275286;0.0268309606968149;0.0415675915937029;0.0100744163595735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009266400827808607
LFP;Base;2020;T-reX;Demand: Copper;Copper;LiMn2O4, rechargeable, prismatic;kg;0.0756096496791395;0.1626705858400027;0.0;0.0;0.0;0.0;0.2511611323083192;0.0463853005902895;0.0;0.0;0.0;0.5307566761588326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0043529947694968;0.0;0.0;0.0;0.0;0.004673310333059066
NCA;Base;2020;T-reX;Demand: Electricity;Electricity;NMC111, rechargeable, prismatic;kg;70.41951798543704;0.0037880996698189;0.0455592591735546;0.013929235415084;0.9295281199965716;0.0;0.0;0.0;0.0;0.0027980310112882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004397254733682798
NMC811;Base;2020;T-reX;Demand: Electricity;Electricity;NCA, rechargeable, prismatic;kg;53.90864830499663;0.0052436396013347;0.0628917622795009;0.018947753738543;0.9028928655265194;0.0;0.0;0.0;0.0;0.0037217559632323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006302222890869791
