0;1;2;tuple
WasteAndMaterialFootprint;Demand: Indium;Indium;('WasteAndMaterialFootprint', 'Demand: Indium', 'Indium')
WasteAndMaterialFootprint;Demand: Latex;Latex;('WasteAndMaterialFootprint', 'Demand: Latex', 'Latex')
WasteAndMaterialFootprint;Demand: Lead;Lead;('WasteAndMaterialFootprint', 'Demand: Lead', 'Lead')
WasteAndMaterialFootprint;Demand: Lithium;Lithium;('WasteAndMaterialFootprint', 'Demand: Lithium', 'Lithium')
WasteAndMaterialFootprint;Demand: Magnesium;Magnesium;('WasteAndMaterialFootprint', 'Demand: Magnesium', 'Magnesium')
WasteAndMaterialFootprint;Demand: Natural gas;Natural gas;('WasteAndMaterialFootprint', 'Demand: Natural gas', 'Natural gas')
WasteAndMaterialFootprint;Demand: Nickel;Nickel;('WasteAndMaterialFootprint', 'Demand: Nickel', 'Nickel')
WasteAndMaterialFootprint;Demand: Palladium;Palladium;('WasteAndMaterialFootprint', 'Demand: Palladium', 'Palladium')
WasteAndMaterialFootprint;Demand: Petroleum;Petroleum;('WasteAndMaterialFootprint', 'Demand: Petroleum', 'Petroleum')
WasteAndMaterialFootprint;Demand: Phosphate rock;Phosphate rock;('WasteAndMaterialFootprint', 'Demand: Phosphate rock', 'Phosphate rock')
WasteAndMaterialFootprint;Demand: Platinum;Platinum;('WasteAndMaterialFootprint', 'Demand: Platinum', 'Platinum')
WasteAndMaterialFootprint;Demand: Rare earth;Rare earth;('WasteAndMaterialFootprint', 'Demand: Rare earth', 'Rare earth')
WasteAndMaterialFootprint;Demand: Rhodium;Rhodium;('WasteAndMaterialFootprint', 'Demand: Rhodium', 'Rhodium')
WasteAndMaterialFootprint;Demand: Sand;Sand;('WasteAndMaterialFootprint', 'Demand: Sand', 'Sand')
WasteAndMaterialFootprint;Demand: Scandium;Scandium;('WasteAndMaterialFootprint', 'Demand: Scandium', 'Scandium')
WasteAndMaterialFootprint;Demand: Selenium;Selenium;('WasteAndMaterialFootprint', 'Demand: Selenium', 'Selenium')
WasteAndMaterialFootprint;Demand: Silicon;Silicon;('WasteAndMaterialFootprint', 'Demand: Silicon', 'Silicon')
WasteAndMaterialFootprint;Demand: Silver;Silver;('WasteAndMaterialFootprint', 'Demand: Silver', 'Silver')
WasteAndMaterialFootprint;Demand: Strontium;Strontium;('WasteAndMaterialFootprint', 'Demand: Strontium', 'Strontium')
WasteAndMaterialFootprint;Demand: Tantalum;Tantalum;('WasteAndMaterialFootprint', 'Demand: Tantalum', 'Tantalum')
WasteAndMaterialFootprint;Demand: Tellurium;Tellurium;('WasteAndMaterialFootprint', 'Demand: Tellurium', 'Tellurium')
WasteAndMaterialFootprint;Demand: Tin;Tin;('WasteAndMaterialFootprint', 'Demand: Tin', 'Tin')
WasteAndMaterialFootprint;Demand: Titanium;Titanium;('WasteAndMaterialFootprint', 'Demand: Titanium', 'Titanium')
WasteAndMaterialFootprint;Demand: Tungsten;Tungsten;('WasteAndMaterialFootprint', 'Demand: Tungsten', 'Tungsten')
WasteAndMaterialFootprint;Demand: Uranium;Uranium;('WasteAndMaterialFootprint', 'Demand: Uranium', 'Uranium')
WasteAndMaterialFootprint;Demand: Vegetable oil;Vegetable oil;('WasteAndMaterialFootprint', 'Demand: Vegetable oil', 'Vegetable oil')
WasteAndMaterialFootprint;Demand: Water;Water;('WasteAndMaterialFootprint', 'Demand: Water', 'Water')
WasteAndMaterialFootprint;Demand: Zinc;Zinc;('WasteAndMaterialFootprint', 'Demand: Zinc', 'Zinc')
WasteAndMaterialFootprint;Demand: Zirconium;Zirconium;('WasteAndMaterialFootprint', 'Demand: Zirconium', 'Zirconium')
WasteAndMaterialFootprint;Waste: Carbondioxide combined;Carbondioxide (kg);('WasteAndMaterialFootprint', 'Waste: Carbondioxide combined', 'Carbondioxide (kg)')
WasteAndMaterialFootprint;Waste: Composting combined;Composting (kg);('WasteAndMaterialFootprint', 'Waste: Composting combined', 'Composting (kg)')
WasteAndMaterialFootprint;Waste: Digestion combined;Digestion (m3);('WasteAndMaterialFootprint', 'Waste: Digestion combined', 'Digestion (m3)')
WasteAndMaterialFootprint;Waste: Digestion combined;Digestion (kg);('WasteAndMaterialFootprint', 'Waste: Digestion combined', 'Digestion (kg)')
WasteAndMaterialFootprint;Waste: Hazardous combined;Hazardous (m3);('WasteAndMaterialFootprint', 'Waste: Hazardous combined', 'Hazardous (m3)')
WasteAndMaterialFootprint;Waste: Hazardous combined;Hazardous (kg);('WasteAndMaterialFootprint', 'Waste: Hazardous combined', 'Hazardous (kg)')
WasteAndMaterialFootprint;Waste: Incineration combined;Incineration (m3);('WasteAndMaterialFootprint', 'Waste: Incineration combined', 'Incineration (m3)')
WasteAndMaterialFootprint;Waste: Incineration combined;Incineration (kg);('WasteAndMaterialFootprint', 'Waste: Incineration combined', 'Incineration (kg)')
WasteAndMaterialFootprint;Waste: Landfill combined;Landfill (m3);('WasteAndMaterialFootprint', 'Waste: Landfill combined', 'Landfill (m3)')
WasteAndMaterialFootprint;Waste: Landfill combined;Landfill (kg);('WasteAndMaterialFootprint', 'Waste: Landfill combined', 'Landfill (kg)')
WasteAndMaterialFootprint;Waste: Openburning combined;Openburning (kg);('WasteAndMaterialFootprint', 'Waste: Openburning combined', 'Openburning (kg)')
WasteAndMaterialFootprint;Waste: Radioactive combined;Radioactive (m3);('WasteAndMaterialFootprint', 'Waste: Radioactive combined', 'Radioactive (m3)')
WasteAndMaterialFootprint;Waste: Recycling combined;Recycling (kg);('WasteAndMaterialFootprint', 'Waste: Recycling combined', 'Recycling (kg)')
WasteAndMaterialFootprint;Waste: Total combined;Total (m3);('WasteAndMaterialFootprint', 'Waste: Total combined', 'Total (m3)')
WasteAndMaterialFootprint;Waste: Total combined;Total (kg);('WasteAndMaterialFootprint', 'Waste: Total combined', 'Total (kg)')
