CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;5d542139f4dae4bb990a5d3c34fe5e97;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;AU;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;9dda7f224e77fc74fb02afe71813d089;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;PE;cement;market for cement, unspecified;;cement, unspecified;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;1797084694541cd7dcf3de5522d49c23;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;KZ;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7653f41d65474d0791845427d7c8b474;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;World;cement;market for cement, type S;;cement, type S;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8d28fa44bd154ab69cf33c8e41b77f61;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;SSA;cement;market for cement, type ICo;;cement, type ICo;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;fe001b187f854651b6703cb7d2b57042;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;JPN;cement;market for cement, type IP/P;;cement, type IP/P;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;b9e85ee8caa2f1aae06e56319b09cbbd;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;IS;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;0670d51ade1a3b99220391640672a64c;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;CA-MB;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7cba894c521845b682559aebad60bfc8;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;REF;cement;market for cement, type IP/P;;cement, type IP/P;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;907606eceaf46abf699d524464d0b76e;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;JO;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;7608e7b4bdddac9f9e80437fc91fe5c3;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;SS;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;2ec9f949a807ae83331b945b4d696b86;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;PA;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;74846fb005fe36439ff383116cd2596e;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2035;CH;cement;market for cement, CEM V/B;;cement, CEM V/B;kilogram
