code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
0599498c0d2498254d851a09014e4b31;market for electricity, low voltage;kilowatt hour;PY;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bb5796c0270d347cb90fcd72a9a42650;market for electricity, low voltage;kilowatt hour;MD;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d8acd5a44ca256e03a0b1cb5b6c21484;market for natural gas, low pressure;cubic meter;BE;market activity;natural gas, low pressure;cutoff391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
69c423027e42a0f91bf51e6c19e52885;market for water, decarbonised;kilogram;CN;market activity;water, decarbonised;cutoff391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
decce7ae61f05d834ff1d2ef19edd369;market for electricity, high voltage;kilowatt hour;IN-Southern grid;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e7bb282744e6bbf0ab868a80ba3ce1bd;market for natural gas, high pressure;cubic meter;HU;market activity;natural gas, high pressure;cutoff391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
04fdacdd853bf9f335e2b11b933225f7;market for electricity, high voltage;kilowatt hour;LB;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d14098d1505bae380ad4e1e43f642797;market for electricity, medium voltage;kilowatt hour;NG;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8ff92db3a7acb3d153fa02a3d0a3a6bf;market for electricity, medium voltage;kilowatt hour;SS;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
fe56d1e3716308b351ae783b838cc3e8;market for electricity, medium voltage;kilowatt hour;BR-Northern grid;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
07d56bfcebb24751d02af52793eb8a3c;market for electricity, medium voltage;kilowatt hour;SG;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c8ee676fccf103d92d20e95fe96f0ac6;market for electricity, high voltage;kilowatt hour;BN;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c160b5b22f6d3fcbbe2976eb06cf6b15;market for electricity, medium voltage;kilowatt hour;TH;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
41e0c9c420386fd5a7b13bb3bb1ebdab;market for natural gas, high pressure;cubic meter;IE;market activity;natural gas, high pressure;cutoff391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
74825a57bdad04327eb182059528764d;market for electricity, high voltage;kilowatt hour;IN-Western grid;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5e026a91d2aa6eccd3f0a0241bc59263;market for natural gas, low pressure;cubic meter;ES;market activity;natural gas, low pressure;cutoff391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
045ebd5e38baeb669934d74b55947e6b;market for electricity, low voltage;kilowatt hour;RS;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d1209a1c88bfcdc9fcb8f31c487f0b3d;market for rare earth carbonate concentrate;kilogram;GLO;market activity;rare earth carbonate concentrate;cutoff391;1.0;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
97abc2632b4db9a85023f0ea872287cb;market for electricity, high voltage;kilowatt hour;US-RFC;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e2a2460ac11baae5c08bfd0afed17abd;market for electricity, medium voltage;kilowatt hour;DO;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a133f0dc517dbc09325c8432f664f4d9;market for electricity, high voltage;kilowatt hour;DK;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
01441ee1134b010b165161367044b74a;market for electricity, low voltage;kilowatt hour;ER;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ac1573cc13ca701140af1b955f248755;market for electricity, high voltage;kilowatt hour;BH;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5a8117c4f44039768ddac111f68e5ea0;market for electricity, low voltage;kilowatt hour;NZ;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a6f3597a3c9245b47db59643f4def5e5;market for silicon tetrahydride;kilogram;GLO;market activity;silicon tetrahydride;cutoff391;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
1e5c206bcf8bc1795e97f5aa2a4e038c;market for electricity, medium voltage;kilowatt hour;CG;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f051f3bc39e7133aa656d39cc9119b5a;market for electricity, medium voltage;kilowatt hour;CA-YK;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0abcc8acabfa44ffe012e0e41860d45b;market for electricity, medium voltage;kilowatt hour;YE;market activity;electricity, medium voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1df8ea799788dd8a6e747085c2f3421d;market for electricity, high voltage;kilowatt hour;CI;market activity;electricity, high voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0418fb60693885b06166390b9f3008f3;market for electricity, low voltage;kilowatt hour;NG;market activity;electricity, low voltage;cutoff391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2a3f6abf50827c5e5bbcfd239e2a7b64;market for water, decarbonised;kilogram;GB;market activity;water, decarbonised;cutoff391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
