code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
72f0fb1669cc82aed89e97ac2d612d0b;market for sand;kilogram;RoW;market activity;sand;cutoff391;1.0;sand;0810:Quarrying of stone, sand and clay;15310: Natural sands
7a066d5d8afabf55d46ef6c7c618d64a;market for sand;kilogram;CH;market activity;sand;cutoff391;1.0;sand;0810:Quarrying of stone, sand and clay;15310: Natural sands
4a61290db042f90ac7e28c9428ccd272;market for calcium borates;kilogram;GLO;market activity;calcium borates;cutoff391;1.0;borates;0891:Mining of chemical and fertilizer minerals;346: Fertilizers and pesticides
fc220c73a8fd0b18427b8906c0583178;market for hafnium sponge;kilogram;GLO;market activity;hafnium sponge;cutoff391;1.0;hafnium;2420:Manufacture of basic precious and other non-ferrous metals;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
05dd318aa12cc9aa21d0cb0c5b8f7337;market for tap water;kilogram;BR;market activity;tap water;cutoff391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
ee0ace9a4548793ae60ca63728a8e113;market for tap water;kilogram;ZA;market activity;tap water;cutoff391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
ecddc793de057b056c38a2a378711ece;market for silicon carbide;kilogram;GLO;market activity;silicon carbide;cutoff391;1.0;silicon;2391:Manufacture of refractory products;373: Refractory products and structural non-refractory clay products
50faad177fd95b72f6d2f5ea917e0692;market for tungsten concentrate;kilogram;GLO;market activity;tungsten concentrate;cutoff391;1.0;tungsten;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
234bef98671292c886679c2bf2528f1f;market for zinc;kilogram;GLO;market activity;zinc;cutoff391;1.0;zinc;2420:Manufacture of basic precious and other non-ferrous metals;41442: Zinc, unwrought
a6f3597a3c9245b47db59643f4def5e5;market for silicon tetrahydride;kilogram;GLO;market activity;silicon tetrahydride;cutoff391;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
0c68daf6455c3e7750a7d48e87f17f7a;market for tantalum concentrate, 30% Ta2O5;kilogram;GLO;market activity;tantalum concentrate, 30% Ta2O5;cutoff391;1.0;tantalum;0729:Mining of other non-ferrous metal ores;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
a23ff5a5512f239248b86d5706a7c4e4;market for latex;kilogram;RoW;market activity;latex;cutoff391;1.0;latex;2013:Manufacture of plastics and synthetic rubber in primary forms;"34790: Other plastics in primary forms; ion exchangers"
e82e91c0b572e044b71a69b32bf53388;market for silver;kilogram;GLO;market activity;silver;cutoff391;1.0;silver;0729:Mining of other non-ferrous metal ores;41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […]
80fcca8589fedf2ca441140bb8c913e6;market for petroleum;kilogram;RNA;market activity;petroleum;cutoff391;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
068b36f8228f2274f30e3f2a4021de4b;market for fluorspar, 97% purity;kilogram;GLO;market activity;fluorspar, 97% purity;cutoff391;1.0;fluorspar;0891:Mining of chemical and fertilizer minerals;16190: Other chemical minerals
ffa4308820ee99e0ed078d95d529d837;market for petroleum;kilogram;Europe without Switzerland;market activity;petroleum;cutoff391;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
c3f8dcd117ff5691f137f0957f08e412;market for strontium sulfate, 90% SrSO4;kilogram;GLO;market activity;strontium sulfate, 90% SrSO4;cutoff391;1.0;strontium;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
402b722aa4a63d94ac64b2ea9e9e1054;market for coke;megajoule;GLO;market activity;coke;cutoff391;1.0;coke;1910:Manufacture of coke oven products;"33100: Coke and semi-coke of coal, of lignite or of peat; retort carbon"
