CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c27f880d7d7d459e80a283fcb6bfe534;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;MEA;cement;market for cement, CEM III/B;;cement, CEM III/B;kilogram
3744: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;b75014fb65234e08b7112070b01af538;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;OAS;cement;market for cement, Portland Slag;;cement, Portland Slag;kilogram
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;747435a7365c4b67a008a9f96af002f5;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;LAM;cement;market for cement mortar;;cement mortar;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;e2f0b00fe6167c4c3a54b3a437ed912a;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;SV;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;a4200c9c2ddd4c418ea8723b5a1153ff;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;LAM;cement;market for cement, CEM II/A-S;;cement, CEM II/A-S;kilogram
39366: Waste and scrap of tin;;3830:Materials recovery;d351b207227ff5c64c7fea118815d1be;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;CH;tin;market for tinplate, in mixed metal scrap;;tinplate, in mixed metal scrap;kilogram
37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone;construction materials/bricks;2395:Manufacture of articles of concrete, cement and plaster;2706c72e9fd70ec905b3b3c565410e6e;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;GLO;sand;market for sand-lime brick;;sand-lime brick;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";9ec0a4ee8dde43208ff756e67aa10e69;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;EUR;natural gas;market for natural gas, high pressure;;natural gas, high pressure;cubic meter
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";2f3da839f70e544e18c132d6794f9286;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;EC;natural gas;market for natural gas, high pressure;;natural gas, high pressure;cubic meter
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;ecfe3dbca46243c7a029c5b5dd565216;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;REF;cement;market for cement, type IP;;cement, type IP;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;35e0230404c1d9c808244206d6747650;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;CH;electricity;market for electricity, low voltage, renewable energy products;;electricity, low voltage, renewable energy products;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;f78c2a78db02b8723f34138e384ff1c7;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;JP;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
3932: Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];;2394:Manufacture of cement, lime and plaster;1b4e682514ef49fdb3e6cda5254b31cf;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;OAS;cement;market for cement, Pozzolana Portland;;cement, Pozzolana Portland;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;e9efc11756cdcbc326312036a71af589;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;CA-AB;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;c001c7d35013c6971d20d07b9fcf04cf;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;AL;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;e241231287f44e6995504f8e78b32d6e;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;LAM;cement;market for cement, type I-PM;;cement, type I-PM;kilogram
