name;database;code;db_base;db_system;db_version;db_model;db_ssp;db_target;db_year;key;method_0;method_1;method_2;activity;product;location;unit;total;direct emissions;46430: Parts of primary cells, primary batteries and electric accumulators (including separators);46410: Primary cells and primary batteries;47130: Printed circuits;88752: Battery and accumulator manufacturing services;53269: Other constructions for manufacturing;"471: Electronic valves and tubes; electronic components; parts thereof";35470: Chemical elements and compounds doped for use in electronics;"463: Insulated wire and cable; optical fibre cables";89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services;46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];"41412: Unrefined copper; copper anodes for electrolytic refining";4153: Semi-finished products of aluminium or aluminium alloys;4124: Bars and rods, hot-rolled, of iron or steel;34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];4151: Semi-finished products of copper or copper alloys;88601: Basic iron and steel manufacturing services;6511: Road transport services of freight;17300: Steam and hot water;17100: Electrical energy;34710: Polymers of ethylene, in primary forms;65119: Other road transport services of freight;65213: Coastal and transoceanic water transport services of intermodal containers by container ships;6512: Railway transport services of freight;36990: Articles of plastics n.e.c.;65229: Other inland water transport services of freight;89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services;41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;893: Casting, forging, stamping and similar metal manufacturing services;65219: Other coastal and transoceanic water transport services of other freight;18000: Natural water;347: Plastics in primary forms;;53211: Highways (except elevated highways), streets and roads;33360: Gas oil;54211: General construction services of highways (except elevated highways), streets and roads
market for battery, Li-ion, NMC811, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;a6340d3ae1622f5fea25af16af07bbc0;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'a6340d3ae1622f5fea25af16af07bbc0');Material Demand Footprint;MaterialDemand (Borates);Borates (demand);LiMn2O4, rechargeable, prismatic;LiMn2O4, rechargeable, prismatic;GLO;kilogram;0.0028648485146959488;0.0;0.0;0.010778416868777944;0.0360767889668073;0.0;0.0;0.9522668836219885;0.0;0.00023733975574938062;0.0;0.0;0.0;0.0;0.00021311233912793586;0.0;0.0;;0.0;0.0;0.00020717843856730826;;;0.0;0.0;;;;;;;;;;;;
market for battery, Li-ion, NCA, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;5649dd9b7aa34f1a93f87fabfb7ea516;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', '5649dd9b7aa34f1a93f87fabfb7ea516');Material Demand Footprint;MaterialDemand (Borates);Borates (demand);NMC111, rechargeable, prismatic;NMC111, rechargeable, prismatic;GLO;kilogram;0.0003706582166549888;0.0;0.5783702478216278;0.006242794642844787;0.24542944972472208;0.015891397173176756;0.09238023893973438;0.00565017727068383;0.0071128442260362055;0.0;0.005494461522661972;0.008805496476856014;0.0029166871390244316;0.02004206116691485;0.0;0.00035950146832230945;0.00015806830939433476;;0.00030029904514632854;0.00017531163903934584;0.008851180143075104;;;0.00027491149968111547;0.0;;;;;;;;;;;;
market for battery, Li-ion, NMC111, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;b18880bba2369a5e12bd69ad239dcbf9;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'b18880bba2369a5e12bd69ad239dcbf9');Material Demand Footprint;MaterialDemand (Borates);Borates (demand);NCA, rechargeable, prismatic;NCA, rechargeable, prismatic;GLO;kilogram;0.0003597275703262977;0.0;0.5242966710222396;0.005767721878276752;0.27969891369056654;0.01705129207860155;0.10499854845250697;0.006268657134742004;0.007260420540151016;0.0;0.006010594108788462;0.010579661784672657;0.003060204982869167;0.02181814779408377;0.0;0.00041064377141646004;0.00016595353644790296;;0.00030942390219401255;0.00020031571530897935;0.010215882794511862;;;0.0002832649332863814;0.0;;;;;;;;;;;;
market for battery, Li-ion, LiMn2O4, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;9b766978b5b04e886ae15900efb7e69c;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', '9b766978b5b04e886ae15900efb7e69c');Material Demand Footprint;MaterialDemand (Borates);Borates (demand);NMC811, rechargeable, prismatic;NMC811, rechargeable, prismatic;GLO;kilogram;0.00032529731798073256;0.0;0.51535959245309;0.006363258506875823;0.27988395611536787;0.01885934960163044;0.10537429865980433;0.006453035252000187;0.009184038237179712;0.0;0.0065521657321305615;0.011160624962459812;0.0033350014333256247;0.023703070592375464;0.0;0.0004385585916432564;0.0001744785178891536;;0.00034217407394587535;0.0002087080116910883;0.010646268363502675;;;0.00031324637670632823;0.0;;;;;;;;;;;;
market for battery, Li-ion, LFP, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;f22991a7a4e1d7ecfa81cdd7453e83d2;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'f22991a7a4e1d7ecfa81cdd7453e83d2');Material Demand Footprint;MaterialDemand (Borates);Borates (demand);LFP, rechargeable, prismatic;LFP, rechargeable, prismatic;GLO;kilogram;0.00021466361993461927;0.0;0.2751407548881377;0.1665635998657214;0.3514028656153488;0.02789973065638729;0.12842159462232883;0.007941030163913296;0.0;0.0;0.009499693624244488;0.0;0.0;0.02988497178071997;0.0;0.0008616513910333481;0.0;;0.0005244975882784501;0.0;0.0;;;0.0005796214338037173;0.00014255606534326436;;;;;;;;;;;;
market for battery, Li-ion, NMC811, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;a6340d3ae1622f5fea25af16af07bbc0;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'a6340d3ae1622f5fea25af16af07bbc0');Material Demand Footprint;MaterialDemand (Cement);Cement (demand);NMC111, rechargeable, prismatic;NMC111, rechargeable, prismatic;GLO;kilogram;0.0673108118343219;0.0;0.7842186062875104;0.00296657241355017;0.006717638821633445;0.03706147593546579;0.06308718380219946;0.01639082499982019;0.012590346554133791;0.0;0.006717659290645159;0.00868729786330072;0.017763334377563864;0.026773086887965054;0.005099999729404249;0.0008977955748510469;0.0006943925940753848;0.001103102079677083;0.0009207775303237562;0.0038774187207889547;0.002489576067300062;0.0003193901399940978;0.0004230364190257807;0.00012240597717926553;0.0;0.0;;;;;;;;;;;
market for battery, Li-ion, NCA, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;5649dd9b7aa34f1a93f87fabfb7ea516;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', '5649dd9b7aa34f1a93f87fabfb7ea516');Material Demand Footprint;MaterialDemand (Cement);Cement (demand);NCA, rechargeable, prismatic;NCA, rechargeable, prismatic;GLO;kilogram;0.049575038372899616;0.0;0.6880793433441778;0.00361162023237495;0.010087942962401342;0.05240103110727254;0.09450398886703237;0.023962664772207008;0.016934720204796076;0.0;0.00968349427983955;0.013367168358590087;0.024600632804605036;0.03840844533191402;0.006946965419135649;0.001350463535217029;0.0009600362098165105;0.0015025906682133274;0.0012595537043394703;0.005834447410501388;0.0038569762829699715;0.0004454776394106233;0.0005743802876343431;0.0001661974648478307;0.00013785199874583918;0.0;;;;;;;;;;;
market for battery, Li-ion, NMC111, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;b18880bba2369a5e12bd69ad239dcbf9;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'b18880bba2369a5e12bd69ad239dcbf9');Material Demand Footprint;MaterialDemand (Cement);Cement (demand);NMC811, rechargeable, prismatic;NMC811, rechargeable, prismatic;GLO;kilogram;0.04328337621359136;0.0;0.6548779585047682;0.004126919726808795;0.010455348903229907;0.060028559086737376;0.09928254712041167;0.025548965707418582;0.022187001863744293;0.0;0.010933224371876127;0.014604858986374957;0.027357484104837647;0.043219626841283214;0.008239111973041072;0.0014941908359123192;0.0010456922478049217;0.0017820749087011486;0.0014398956587123436;0.006297669888459162;0.004162917315951313;0.000483633706543095;0.0006578720814105141;0.0001903558922171752;0.00015550852519405922;0.00012743620909422645;;;;;;;;;;;
market for battery, Li-ion, LiMn2O4, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;9b766978b5b04e886ae15900efb7e69c;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', '9b766978b5b04e886ae15900efb7e69c');Material Demand Footprint;MaterialDemand (Cement);Cement (demand);LFP, rechargeable, prismatic;LFP, rechargeable, prismatic;GLO;kilogram;0.034505182782945024;0.0;0.11347217211937541;0.6072277581200555;0.010866272407792308;0.07346057200738264;0.0877320979257199;0.026025720390870838;0.0;0.0;0.013121628839284917;0.0;0.0007548875850021337;0.04505365084308606;0.011429849789880478;0.002076240827438539;0.0;0.0024722140671734295;0.0020129084326108776;0.0;0.0;0.0003962194650709826;0.0;0.0001941296259046795;0.002625526490676784;0.0;;;;;;;;;;;
market for battery, Li-ion, LFP, rechargeable, prismatic;ecoinvent_3.9.1_cutoff;f22991a7a4e1d7ecfa81cdd7453e83d2;ecoinvent;cutoff;3.9;none;0;none;2020;('ecoinvent_3.9.1_cutoff', 'f22991a7a4e1d7ecfa81cdd7453e83d2');Material Demand Footprint;MaterialDemand (Cement);Cement (demand);LiMn2O4, rechargeable, prismatic;LiMn2O4, rechargeable, prismatic;GLO;kilogram;0.018888185635787938;0.0;0.0;0.34557811448132447;0.0582974395828122;0.0;0.02266350367050029;0.016427962310453632;0.0;0.030060338025644662;0.0;0.0;0.0;0.0;0.42686674160612614;0.0;0.0;0.09245000891894448;0.0034415861523299923;0.0;0.0015102962082152508;0.0;0.0015075521465734377;0.0004362116010602272;0.0004992256357479382;0.0;;;;;;;;;;;
