0;1;2;tuple
EF v3.0 no LT;acidification no LT;accumulated exceedance (AE) no LT;('EF v3.0 no LT', 'acidification no LT', 'accumulated exceedance (AE) no LT')
EF v3.0 no LT;climate change no LT;global warming potential (GWP100) no LT;('EF v3.0 no LT', 'climate change no LT', 'global warming potential (GWP100) no LT')
EF v3.0 no LT;climate change: biogenic no LT;global warming potential (GWP100) no LT;('EF v3.0 no LT', 'climate change: biogenic no LT', 'global warming potential (GWP100) no LT')
EF v3.0 no LT;climate change: fossil no LT;global warming potential (GWP100) no LT;('EF v3.0 no LT', 'climate change: fossil no LT', 'global warming potential (GWP100) no LT')
EF v3.0 no LT;climate change: land use and land use change no LT;global warming potential (GWP100) no LT;('EF v3.0 no LT', 'climate change: land use and land use change no LT', 'global warming potential (GWP100) no LT')
EF v3.0 no LT;ecotoxicity: freshwater no LT;comparative toxic unit for ecosystems (CTUe) no LT;('EF v3.0 no LT', 'ecotoxicity: freshwater no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')
EF v3.0 no LT;ecotoxicity: freshwater, inorganics no LT;comparative toxic unit for ecosystems (CTUe) no LT;('EF v3.0 no LT', 'ecotoxicity: freshwater, inorganics no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')
EF v3.0 no LT;ecotoxicity: freshwater, metals no LT;comparative toxic unit for ecosystems (CTUe) no LT;('EF v3.0 no LT', 'ecotoxicity: freshwater, metals no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')
EF v3.0 no LT;ecotoxicity: freshwater, organics no LT;comparative toxic unit for ecosystems (CTUe) no LT;('EF v3.0 no LT', 'ecotoxicity: freshwater, organics no LT', 'comparative toxic unit for ecosystems (CTUe) no LT')
EF v3.0 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;('EF v3.0 no LT', 'energy resources: non-renewable no LT', 'abiotic depletion potential (ADP): fossil fuels no LT')
EF v3.0 no LT;eutrophication: freshwater no LT;fraction of nutrients reaching freshwater end compartment (P) no LT;('EF v3.0 no LT', 'eutrophication: freshwater no LT', 'fraction of nutrients reaching freshwater end compartment (P) no LT')
EF v3.0 no LT;eutrophication: marine no LT;fraction of nutrients reaching marine end compartment (N) no LT;('EF v3.0 no LT', 'eutrophication: marine no LT', 'fraction of nutrients reaching marine end compartment (N) no LT')
EF v3.0 no LT;eutrophication: terrestrial no LT;accumulated exceedance (AE) no LT;('EF v3.0 no LT', 'eutrophication: terrestrial no LT', 'accumulated exceedance (AE) no LT')
EF v3.0 no LT;human toxicity: carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')
