CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;91dbbb6b77b346ef9c28d71efdd317fa;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;EUR;cement;market for cement, CEM II/B;;cement, CEM II/B;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;f6bd328a3f7a1c39dcaf715bbcf958bb;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;UA;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;12a6b8f1deef0a1576a5d38b6b893d34;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;CM;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;329768922ace9a2477c7588e89743c7b;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;CA-YK;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;797e829841964017aa23f5575d66dbdd;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;CHA;cement;market for cement, CEM III/C;;cement, CEM III/C;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;0a50ef543cd51a10213b082ee15bcdf0;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;CD;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];;2420:Manufacture of basic precious and other non-ferrous metals;d63d90279901d49646f8c52e8cee970a;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;CN;magnesium;market for magnesium, for reuse in titanium sponge production;;magnesium, for reuse in titanium sponge production;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;d92fd9c21946145c5e4f1a5f82b886a7;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;IE;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c86eae13c474ab381175f4e967d1a5d7;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;BR;cement;market for cement, CP III;;cement, CP III;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;018baa7fd6fb429ab77d6695785679b7;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;SSA;hydrogen;market for hydrogen, gaseous, 60-year period;;hydrogen, gaseous;kilogram
