CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;ff285c7cbe8441558ac6f0b2a9623c84;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;SSA;hydrogen;market for hydrogen, gaseous, 40-year period;;hydrogen, gaseous;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;8bf67e823d7c417fc6bb4f8b464537a4;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;VE;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;f217c29fee1c46ffb2911d4d0c2547cb;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;SSA;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;85e677cb21f7444ba5cf1979e1735148;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;CAZ;cement;market for cement, CEM IV/B;;cement, CEM IV/B;kilogram
3744: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f0e1fcdbc66447f293a194d4783e14a9;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;CAZ;cement;market for cement, Portland Slag;;cement, Portland Slag;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;dc557e3c39de491488d0540f3e359187;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;OAS;cement;market for cement, CEM II/B-L;;cement, CEM II/B-L;kilogram
17100: Electrical energy;electricity/supply mix;3510:Electric power generation, transmission and distribution;b9ed73aa06f66b40bba9bf6df3d3ade0;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;RO;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;31e581ff13eac8f9e6c2c206eace810b;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;BE;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
41320: Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form;metals/extraction;0729:Mining of other non-ferrous metal ores;36312a62a043eb8374d232cf30167c22;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;GLO;gold;market for gold;;gold;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;851d2ac29f734572826c2368fd6d3f2c;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;IND;cement;market for cement, CP II-Z;;cement, CP II-Z;kilogram
